id,screenshot,timestamp,header,header_txt,combined_features,activity_label,process_id,case:concept:name,concept:name,time:timestamp
43,43_img.png,2024-05-10 10:01:53+00:00,Odoo - Customer Payments,43_ocr.txt,"[-0.00811979 -0.00923908 -0.00512296 ...  0.0151419   0.02397895
  0.0278882 ]",5,8,8,5,2024-05-10 10:01:53+00:00
44,44_img.png,2024-05-10 10:01:55+00:00,Odoo - Draft Payment,44_ocr.txt,"[-0.00354854 -0.02361372 -0.00506308 ...  0.01196227  0.02009823
  0.01838724]",3,8,8,3,2024-05-10 10:01:55+00:00
45,45_img.png,2024-05-10 10:01:57+00:00,Odoo - PBNK1/2024/00027,45_ocr.txt,"[-0.00327391 -0.02380373 -0.00425718 ... -0.00457496  0.00426073
  0.01470055]",1,8,8,1,2024-05-10 10:01:57+00:00
46,46_img.png,2024-05-10 10:01:59+00:00,Odoo - INV/2024/00005,46_ocr.txt,"[ 0.00757036 -0.01792529  0.00248781 ...  0.00999044  0.01034637
  0.01177583]",0,8,8,0,2024-05-10 10:01:59+00:00
48,48_img.png,2024-05-10 10:02:03+00:00,Odoo - Discuss,48_ocr.txt,"[-0.00273533 -0.00226218  0.00067754 ...  0.01465691 -0.00375801
  0.01883252]",7,9,9,7,2024-05-10 10:02:03+00:00
49,49_img.png,2024-05-10 10:02:05+00:00,Odoo - Invoices,49_ocr.txt,"[-0.00243202 -0.01815632 -0.00378477 ...  0.01362255  0.02914246
  0.015286  ]",4,9,9,4,2024-05-10 10:02:05+00:00
50,50_img.png,2024-05-10 10:02:07+00:00,Odoo - Customers,50_ocr.txt,"[-0.00460456 -0.012085   -0.00086267 ...  0.0210133   0.01811671
  0.01527546]",6,9,9,6,2024-05-10 10:02:07+00:00
51,51_img.png,2024-05-10 10:02:09+00:00,Odoo - Customer View,51_ocr.txt,"[-0.00560556 -0.01874765 -0.00785064 ...  0.0148685   0.01100165
  0.01576048]",2,9,9,2,2024-05-10 10:02:09+00:00
52,52_img.png,2024-05-10 10:02:11+00:00,Odoo - Discuss,52_ocr.txt,"[-0.00440291 -0.00334492  0.00149531 ...  0.01465691 -0.00375801
  0.01883252]",7,10,10,7,2024-05-10 10:02:11+00:00
53,53_img.png,2024-05-10 10:02:13+00:00,Odoo - Invoices,53_ocr.txt,"[-0.00389589 -0.01972448 -0.00298771 ...  0.01362255  0.02914246
  0.015286  ]",4,10,10,4,2024-05-10 10:02:13+00:00
54,54_img.png,2024-05-10 10:02:15+00:00,Odoo - Customer Payments,54_ocr.txt,"[-0.01143399 -0.01205644 -0.00609964 ...  0.0151419   0.02397895
  0.0278882 ]",5,10,10,5,2024-05-10 10:02:15+00:00
55,55_img.png,2024-05-10 10:02:17+00:00,Odoo - Draft Payment,55_ocr.txt,"[-0.0022824  -0.02346302 -0.00588973 ...  0.01196227  0.02009823
  0.01838724]",3,10,10,3,2024-05-10 10:02:17+00:00
56,56_img.png,2024-05-10 10:02:19+00:00,Odoo - PBNK1/2024/00029,56_ocr.txt,"[-0.00300217 -0.0223686  -0.00355636 ... -0.00242023  0.00503605
  0.01578044]",1,10,10,1,2024-05-10 10:02:19+00:00
57,57_img.png,2024-05-10 10:02:23+00:00,Odoo - INV/2024/00001,57_ocr.txt,"[ 0.01431983 -0.01518929  0.00758111 ...  0.01088215  0.01155521
  0.01216191]",0,10,10,0,2024-05-10 10:02:23+00:00
